"","year","herd_class","herd_subclass","mean","median","min","max"
"120",2017,"S","Rdf",59.9,42,1,453
"121",2017,"S","Sbf",20.1,13,1,638
"122",2017,"S","Sbm",22.7,14,1,4042
"123",2017,"S","Sbmx",42,27,1,1177
"124",2017,"S","Sdm",49.2,28,1,3005
"125",2017,"T","T",54,22,1,2651
"126",2017,"U","U",15,7,1,5779
"127",2018,"B","BP",38.7,24,1,454
"128",2018,"B","BSB",83.6,60,1,2793
"129",2018,"B","BSW",33.8,23,1,1151
"130",2018,"B","BSY",61.8,47,1,952
"131",2018,"B","BSY_nR",35.1,24,1,449
"132",2018,"D","D",171.5,140,1,2215
"133",2018,"D","DRm",206.4,178,2,2228
"134",2018,"D","DnR_C",234.5,193,1,1871
"135",2018,"D","DnR_nC",73,54,1,1104
"136",2018,"F","F",57.7,33,1,4248
"137",2018,"M","M",144.5,121,1,1383
"138",2018,"S","Rdf",63.2,45,1,579
"139",2018,"S","Sbf",20,12,1,898
"140",2018,"S","Sbm",22.5,14,1,3749
"141",2018,"S","Sbmx",42.9,27,1,1214
"142",2018,"S","Sdm",49.8,29,1,792
"143",2018,"T","T",70.3,22,1,20078
"144",2018,"U","U",12.3,7,1,647
"145",2019,"B","BP",39.6,25,1,2250
"146",2019,"B","BSB",82.9,61,1,2476
"147",2019,"B","BSW",33.9,23,1,1028
"148",2019,"B","BSY",60.3,46,1,731
"149",2019,"B","BSY_nR",35.4,24,1,398
"150",2019,"D","D",173.3,143,1,2109
"151",2019,"D","DRm",214.4,183,1,2286
"152",2019,"D","DnR_C",241.1,195,1,1853
"153",2019,"D","DnR_nC",77.5,57,1,1107
"154",2019,"F","F",56.9,33,1,4103
"155",2019,"M","M",143.5,120,1,1516
"156",2019,"S","Rdf",67.1,47,1,792
"157",2019,"S","Sbf",19.5,12,1,861
"158",2019,"S","Sbm",21.4,14,1,1097
"159",2019,"S","Sbmx",42,27,1,1051
"160",2019,"S","Sdm",50.2,29,1,865
"161",2019,"T","T",70.9,21,1,17936
"162",2019,"U","U",12.7,7,1,1444
"163",2020,"B","BP",39.9,25,1,514
"164",2020,"B","BSB",76.5,55,1,1729
"165",2020,"B","BSW",34,24,1,957
"166",2020,"B","BSY",61.6,47,1,808
"167",2020,"B","BSY_nR",34.9,25,1,477
"168",2020,"D","D",181.8,149,1,2300
"169",2020,"D","DRm",210.3,175,1,1804
"170",2020,"D","DnR_C",249.9,200,1,1801
"171",2020,"D","DnR_nC",83.6,61,1,1265
"172",2020,"F","F",54.9,32,1,3886
"173",2020,"M","M",147,124,1,1514
"174",2020,"S","Rdf",69.2,50,1,900
"175",2020,"S","Sbf",20.2,13,1,803
"176",2020,"S","Sbm",22.7,15,1,1425
"177",2020,"S","Sbmx",42.7,28,1,3207
"178",2020,"S","Sdm",52.2,29.5,1,889
"179",2020,"T","T",54.3,22,1,2329
"180",2020,"U","U",13.2,7,1,1084
"181",2021,"B","BP",39.4,25,1,573
"182",2021,"B","BSB",76.7,56,1,1389
"183",2021,"B","BSW",34.5,24,1,1788
"184",2021,"B","BSY",61.6,47,1,803
"185",2021,"B","BSY_nR",36.6,26,1,422
"186",2021,"D","D",184.9,152,1,2388
"187",2021,"D","DRm",214.1,177,1,1731
"188",2021,"D","DnR_C",262.3,210,3,2141
"189",2021,"D","DnR_nC",85.2,62,1,1340
"190",2021,"F","F",57.6,34,1,3985
"191",2021,"M","M",148.3,123,1,1465
"192",2021,"S","Rdf",71.5,51,1,1280
"193",2021,"S","Sbf",21.2,14,1,753
"194",2021,"S","Sbm",23.7,15,1,698
"195",2021,"S","Sbmx",45.2,30,1,2335
"196",2021,"S","Sdm",56.6,33,1,1530
"197",2021,"T","T",64.6,27,1,2775
"198",2021,"U","U",13.4,7,1,529
